t = 0 ,  0 ,  1 ,  2 ,  3 ,  4 ,  5 ,  6 ,  7 ,  8 ,  9 ,  10 ,  11 ,  12 ,  13 ,  14 ,  15 ,  16 ,  17 ,  18 ,  19 ,  20 ,  21 ,  22 ,  23 ,  24 ,  25 ,  26 ,  27 ,  28 ,  29 ,  30 ,  31 ,  32 ,  33 ,  34 ,  35 ,  36 ,  37 ,  38 ,  39 ,  40 , 
0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 , 
1 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 , 
2 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 , 
3 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 , 
4 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 , 
5 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 , 
6 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 , 
7 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 , 
8 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 , 
9 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 ,  27.0 , 
